[SYS] 2026/06/04 - 16:15:29 | initializing token encoders 
[SYS] 2026/06/04 - 16:15:29 | token encoders initialized 
[SYS] 2026/06/04 - 16:15:29 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/06/04 - 16:15:29 | database migration started 
[SYS] 2026/06/04 - 16:15:29 | system is already initialized at: 2026-06-03 10:51:16 +0800 CST 
[SYS] 2026/06/04 - 16:15:29 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/04 - 16:15:29 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/04 - 16:15:29 | Loaded 0 custom OAuth providers 
[SYS] 2026/06/04 - 16:15:29 | New API v0.0.0 started 
[SYS] 2026/06/04 - 16:15:29 | 正在更新数据看板数据... 
[SYS] 2026/06/04 - 16:15:29 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/04 - 16:15:29 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/06/04 - 16:15:29 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 

  [32mNew API v0.0.0[0m  ready in 337 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.216:3000/

[GIN] 2026/06/04 - 16:15:55 | api | 202606040815559349256008268d9d6D2hSBJV2 | 200 |      1.0373ms |       127.0.0.1 |     GET /api/user/passkey
[GIN] 2026/06/04 - 16:15:55 | api | 202606040815559778663008268d9d6bwg3jiRU | 200 |       515.4µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/04 - 16:15:55 | api | 202606040815559778663008268d9d6sTwTpggf | 200 |      1.5634ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=false&tag_mode=false
[GIN] 2026/06/04 - 16:15:55 | api | 202606040815559799506008268d9d6kdUovlAs | 200 |      1.5627ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/04 - 16:15:57 | api | 202606040815574515679008268d9d6NhC47M9U | 200 |      1.0364ms |       127.0.0.1 |     GET /api/vendors/?page_size=1000
[GIN] 2026/06/04 - 16:15:57 | api | 202606040815574515679008268d9d6CcAdxU66 | 200 |      1.0364ms |       127.0.0.1 |     GET /api/models/?p=1&page_size=10
[SYS] 2026/06/04 - 16:15:59 | 任务进度轮询开始 
[SYS] 2026/06/04 - 16:15:59 | 任务进度轮询完成 
[GIN] 2026/06/04 - 16:15:59 | api | 202606040815595051435008268d9d6R6Gyd3Hx | 200 |       515.5µs |       127.0.0.1 |     GET /api/deployments/settings
[GIN] 2026/06/04 - 16:16:00 | api | 202606040816001110807008268d9d6DU0xgZDe | 200 |      1.0443ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/04 - 16:16:00 | api | 202606040816001115994008268d9d6SUJHBbYV | 200 |      1.0444ms |       127.0.0.1 |     GET /api/user/?p=0&page_size=10
[GIN] 2026/06/04 - 16:16:02 | api | 202606040816021533023008268d9d6U5ar22pn | 200 |       1.547ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/04 - 16:16:03 | api | 202606040816038212978008268d9d6qvyrNEFk | 200 |         519µs |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780474563&end_timestamp=1780564563&default_time=hour
[GIN] 2026/06/04 - 16:16:03 | api | 202606040816038207753008268d9d6Yc1IyXey | 200 |      1.0415ms |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/04 - 16:16:03 | api | 202606040816038864002008268d9d6CV6lh1GE | 200 |         6.5µs |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780474563&end_timestamp=1780564563
[GIN] 2026/06/04 - 16:16:03 | api | 202606040816039377562008268d9d6fozo4Zc6 | 200 |            0s |       127.0.0.1 |     GET /api/uptime/status
[GIN] 2026/06/04 - 16:16:04 | api | 202606040816045367227008268d9d6mTrXGCU3 | 200 |            0s |       127.0.0.1 |     GET /api/user/models
[GIN] 2026/06/04 - 16:16:07 | api | 202606040816072050404008268d9d6azGGeyC5 | 200 |            0s |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780474567&end_timestamp=1780564567&default_time=hour
[GIN] 2026/06/04 - 16:16:07 | api | 202606040816072050404008268d9d6m8JGYnRC | 200 |            0s |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/04 - 16:16:07 | api | 202606040816072225347008268d9d6UhnepAEt | 200 |       516.3µs |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780474567&end_timestamp=1780564567
[GIN] 2026/06/04 - 16:16:07 | api | 202606040816072756803008268d9d6KjEfjnJN | 200 |       508.8µs |       127.0.0.1 |     GET /api/uptime/status
[GIN] 2026/06/04 - 16:16:07 | web | 202606040816079113448008268d9d6ogA0imTT | 200 |       1.089ms |       127.0.0.1 |     GET /cover-4.webp
[GIN] 2026/06/04 - 16:16:07 | api | 202606040816079213882008268d9d6YBKxdr9b | 200 |       524.5µs |       127.0.0.1 |     GET /api/pricing
[SYS] 2026/06/04 - 16:16:14 | 任务进度轮询开始 
[SYS] 2026/06/04 - 16:16:14 | 任务进度轮询完成 
[GIN] 2026/06/04 - 16:16:25 | api | 202606040816251470949008268d9d6uChGW0Ty | 200 |       532.6µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/04 - 16:16:25 | api | 202606040816251491902008268d9d6ZD3sCaI9 | 200 |       1.293ms |       127.0.0.1 |     GET /api/data/?username=&start_timestamp=1780474585&end_timestamp=1780564585&default_time=hour
[GIN] 2026/06/04 - 16:16:25 | api | 202606040816253069354008268d9d649tjO5bU | 200 |      1.9565ms |       127.0.0.1 |     GET /api/data/users?start_timestamp=1780474585&end_timestamp=1780564585
[GIN] 2026/06/04 - 16:16:25 | api | 202606040816253318177008268d9d6MfRkyGtF | 200 |       517.3µs |       127.0.0.1 |     GET /api/uptime/status
